"filename", "language", "JavaScript", "comment", "blank", "total"
"e:\MERN\chat-app\client\src\components\BodyParent.js", "JavaScript", 18, 0, 4, 22
"e:\MERN\chat-app\client\src\components\Login.js", "JavaScript", 25, 4, 8, 37
"e:\MERN\chat-app\client\src\components\MessageList.js", "JavaScript", 43, 2, 12, 57
"e:\MERN\chat-app\client\src\components\Nav.js", "JavaScript", 42, 0, 19, 61
"e:\MERN\chat-app\client\src\components\NewRoom.js", "JavaScript", 35, 4, 14, 53
"e:\MERN\chat-app\client\src\components\RoomList.js", "JavaScript", 43, 7, 13, 63
"e:\MERN\chat-app\client\src\components\SendMessage.js", "JavaScript", 26, 0, 9, 35
"e:\MERN\chat-app\client\src\components\SignUp.js", "JavaScript", 0, 0, 1, 1
"Total", "-", 232, 17, 80, 329
