"filename", "language", "JavaScript", "comment", "blank", "total"
"e:\MERN\chat-app\routes\messages.js", "JavaScript", 23, 0, 11, 34
"e:\MERN\chat-app\routes\rooms.js", "JavaScript", 71, 73, 32, 176
"e:\MERN\chat-app\routes\users.js", "JavaScript", 27, 1, 10, 38
"Total", "-", 121, 74, 53, 248
